D:\anaconda3\envs\STAR_DEPLOY\lib\site-packages\gymnasium\utils\passive_env_checker.py:165: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
D:\anaconda3\envs\STAR_DEPLOY\lib\site-packages\gymnasium\utils\passive_env_checker.py:165: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=50, episodic_return=[70.46048]
global_step=100, episodic_return=[67.73984]
global_step=150, episodic_return=[64.19482]
global_step=200, episodic_return=[64.222015]
global_step=250, episodic_return=[70.83249]
global_step=300, episodic_return=[62.205784]
global_step=350, episodic_return=[68.42982]
global_step=400, episodic_return=[63.700756]
global_step=450, episodic_return=[66.355675]
global_step=500, episodic_return=[62.431522]
global_step=550, episodic_return=[63.07783]
global_step=600, episodic_return=[62.994385]
global_step=650, episodic_return=[64.98238]
global_step=700, episodic_return=[67.85369]
global_step=750, episodic_return=[63.95525]
global_step=800, episodic_return=[66.927086]
global_step=850, episodic_return=[67.80914]
global_step=900, episodic_return=[65.43373]
global_step=950, episodic_return=[67.27907]
global_step=1000, episodic_return=[61.497486]
global_step=1050, episodic_return=[69.194244]
global_step=1100, episodic_return=[66.76068]
global_step=1150, episodic_return=[63.78814]
global_step=1200, episodic_return=[66.72286]
global_step=1250, episodic_return=[64.52733]
global_step=1300, episodic_return=[62.415913]
global_step=1350, episodic_return=[63.855347]
global_step=1400, episodic_return=[62.04596]
global_step=1450, episodic_return=[66.04082]
global_step=1500, episodic_return=[65.62983]
global_step=1550, episodic_return=[67.14975]
global_step=1600, episodic_return=[65.77876]
global_step=1650, episodic_return=[66.80328]
global_step=1700, episodic_return=[62.934673]
global_step=1750, episodic_return=[68.1846]
global_step=1800, episodic_return=[61.42938]
global_step=1850, episodic_return=[69.872375]
global_step=1900, episodic_return=[66.76791]
global_step=1950, episodic_return=[65.45226]
global_step=2000, episodic_return=[62.487984]
SPS: 249
global_step=2050, episodic_return=[69.21937]
global_step=2100, episodic_return=[68.38874]
global_step=2150, episodic_return=[65.5078]
global_step=2200, episodic_return=[64.54632]
global_step=2250, episodic_return=[67.69468]
global_step=2300, episodic_return=[67.7806]
global_step=2350, episodic_return=[66.0832]
global_step=2400, episodic_return=[73.04163]
global_step=2450, episodic_return=[63.458607]
global_step=2500, episodic_return=[63.157867]
global_step=2550, episodic_return=[69.31104]
global_step=2600, episodic_return=[64.60682]
global_step=2650, episodic_return=[62.966785]
global_step=2700, episodic_return=[62.109158]
global_step=2750, episodic_return=[66.25238]
global_step=2800, episodic_return=[67.43267]
global_step=2850, episodic_return=[67.23556]
global_step=2900, episodic_return=[67.28425]
global_step=2950, episodic_return=[63.12728]
global_step=3000, episodic_return=[69.656296]
global_step=3050, episodic_return=[67.29394]
global_step=3100, episodic_return=[66.085556]
global_step=3150, episodic_return=[66.00641]
global_step=3200, episodic_return=[70.65093]
global_step=3250, episodic_return=[66.68945]
global_step=3300, episodic_return=[62.560364]
global_step=3350, episodic_return=[65.50838]
global_step=3400, episodic_return=[62.24472]
global_step=3450, episodic_return=[68.85631]
global_step=3500, episodic_return=[64.99805]
global_step=3550, episodic_return=[72.22738]
global_step=3600, episodic_return=[60.80494]
global_step=3650, episodic_return=[67.054665]
global_step=3700, episodic_return=[69.90612]
global_step=3750, episodic_return=[60.709156]
global_step=3800, episodic_return=[62.470913]
global_step=3850, episodic_return=[72.93915]
global_step=3900, episodic_return=[65.02459]
global_step=3950, episodic_return=[62.205524]
global_step=4000, episodic_return=[61.647236]
global_step=4050, episodic_return=[68.14284]
SPS: 249
global_step=4100, episodic_return=[62.52321]
global_step=4150, episodic_return=[68.95103]
global_step=4200, episodic_return=[62.519363]
global_step=4250, episodic_return=[72.89993]
global_step=4300, episodic_return=[61.32905]
global_step=4350, episodic_return=[66.956345]
global_step=4400, episodic_return=[64.39501]
global_step=4450, episodic_return=[68.624535]
global_step=4500, episodic_return=[68.77239]
global_step=4550, episodic_return=[62.01301]
global_step=4600, episodic_return=[66.23295]
global_step=4650, episodic_return=[61.993813]
global_step=4700, episodic_return=[69.02736]
global_step=4750, episodic_return=[65.964806]
global_step=4800, episodic_return=[67.3254]
global_step=4850, episodic_return=[60.4094]
global_step=4900, episodic_return=[63.187145]
global_step=4950, episodic_return=[74.07075]
global_step=5000, episodic_return=[67.50712]
global_step=5050, episodic_return=[65.76178]
global_step=5100, episodic_return=[69.055695]
global_step=5150, episodic_return=[64.929146]
global_step=5200, episodic_return=[67.49846]
global_step=5250, episodic_return=[68.18441]
global_step=5300, episodic_return=[74.639244]
global_step=5350, episodic_return=[61.109894]
global_step=5400, episodic_return=[70.80422]
global_step=5450, episodic_return=[63.92831]
global_step=5500, episodic_return=[69.92064]
global_step=5550, episodic_return=[70.13528]
global_step=5600, episodic_return=[64.69603]
global_step=5650, episodic_return=[65.3654]
global_step=5700, episodic_return=[65.61258]
global_step=5750, episodic_return=[68.79237]
global_step=5800, episodic_return=[61.209244]
global_step=5850, episodic_return=[71.05677]
global_step=5900, episodic_return=[63.334118]
global_step=5950, episodic_return=[73.51903]
global_step=6000, episodic_return=[65.495255]
global_step=6050, episodic_return=[60.276802]
global_step=6100, episodic_return=[62.16091]
SPS: 242
global_step=6150, episodic_return=[61.81396]
global_step=6200, episodic_return=[65.05806]
global_step=6250, episodic_return=[67.69328]
global_step=6300, episodic_return=[66.58968]
global_step=6350, episodic_return=[64.835915]
global_step=6400, episodic_return=[65.60253]
global_step=6450, episodic_return=[63.732864]
global_step=6500, episodic_return=[63.833374]
global_step=6550, episodic_return=[66.191956]
global_step=6600, episodic_return=[69.37818]
global_step=6650, episodic_return=[62.317234]
global_step=6700, episodic_return=[64.652245]
global_step=6750, episodic_return=[75.29091]
global_step=6800, episodic_return=[61.267178]
global_step=6850, episodic_return=[66.71685]
global_step=6900, episodic_return=[66.5493]
global_step=6950, episodic_return=[67.697334]
global_step=7000, episodic_return=[67.71671]
global_step=7050, episodic_return=[67.76665]
global_step=7100, episodic_return=[62.433285]
global_step=7150, episodic_return=[65.32452]
global_step=7200, episodic_return=[69.95444]
global_step=7250, episodic_return=[70.92907]
global_step=7300, episodic_return=[66.68198]
global_step=7350, episodic_return=[64.35948]
global_step=7400, episodic_return=[63.96751]
global_step=7450, episodic_return=[65.23262]
global_step=7500, episodic_return=[68.738716]
global_step=7550, episodic_return=[67.193665]
global_step=7600, episodic_return=[74.700325]
global_step=7650, episodic_return=[66.2972]
global_step=7700, episodic_return=[68.72302]
global_step=7750, episodic_return=[67.722046]
global_step=7800, episodic_return=[66.59499]
global_step=7850, episodic_return=[68.79258]
global_step=7900, episodic_return=[65.701324]
global_step=7950, episodic_return=[58.898834]
global_step=8000, episodic_return=[67.48511]
global_step=8050, episodic_return=[67.40392]
global_step=8100, episodic_return=[66.99724]
global_step=8150, episodic_return=[64.96821]
SPS: 246
global_step=8200, episodic_return=[66.86173]
global_step=8250, episodic_return=[67.73609]
global_step=8300, episodic_return=[71.959984]
global_step=8350, episodic_return=[66.010925]
global_step=8400, episodic_return=[66.449905]
global_step=8450, episodic_return=[63.93965]
global_step=8500, episodic_return=[63.093807]
global_step=8550, episodic_return=[67.03796]
global_step=8600, episodic_return=[69.56546]
global_step=8650, episodic_return=[64.35249]
global_step=8700, episodic_return=[69.27027]
global_step=8750, episodic_return=[61.995266]
global_step=8800, episodic_return=[70.48874]
global_step=8850, episodic_return=[68.16553]
global_step=8900, episodic_return=[59.71619]
global_step=8950, episodic_return=[67.07105]
global_step=9000, episodic_return=[66.92044]
global_step=9050, episodic_return=[66.612816]
global_step=9100, episodic_return=[69.18947]
global_step=9150, episodic_return=[64.74188]
global_step=9200, episodic_return=[63.004467]
global_step=9250, episodic_return=[66.740616]
global_step=9300, episodic_return=[62.615852]
global_step=9350, episodic_return=[65.75687]
global_step=9400, episodic_return=[66.192505]
global_step=9450, episodic_return=[62.653057]
global_step=9500, episodic_return=[60.507915]
global_step=9550, episodic_return=[65.37169]
global_step=9600, episodic_return=[65.38536]
global_step=9650, episodic_return=[60.2555]
global_step=9700, episodic_return=[66.21502]
global_step=9750, episodic_return=[63.05668]
global_step=9800, episodic_return=[64.85726]
global_step=9850, episodic_return=[66.45361]
global_step=9900, episodic_return=[62.6064]
global_step=9950, episodic_return=[68.469925]
global_step=10000, episodic_return=[67.605804]
global_step=10050, episodic_return=[66.00135]
global_step=10100, episodic_return=[63.16261]
global_step=10150, episodic_return=[65.84033]
global_step=10200, episodic_return=[66.19217]
SPS: 250
global_step=10250, episodic_return=[68.7518]
global_step=10300, episodic_return=[62.71831]
global_step=10350, episodic_return=[68.52749]
global_step=10400, episodic_return=[73.00764]
global_step=10450, episodic_return=[63.271072]
global_step=10500, episodic_return=[64.12162]
global_step=10550, episodic_return=[65.55939]
global_step=10600, episodic_return=[68.05168]
global_step=10650, episodic_return=[65.36683]
global_step=10700, episodic_return=[68.504906]
global_step=10750, episodic_return=[62.469994]
global_step=10800, episodic_return=[68.2453]
global_step=10850, episodic_return=[68.63118]
global_step=10900, episodic_return=[65.05724]
global_step=10950, episodic_return=[63.864727]
global_step=11000, episodic_return=[64.08602]
global_step=11050, episodic_return=[66.14582]
global_step=11100, episodic_return=[67.41163]
global_step=11150, episodic_return=[67.881996]
global_step=11200, episodic_return=[59.33919]
global_step=11250, episodic_return=[62.173664]
global_step=11300, episodic_return=[70.33196]
global_step=11350, episodic_return=[68.68084]
global_step=11400, episodic_return=[62.23066]
global_step=11450, episodic_return=[70.543274]
global_step=11500, episodic_return=[67.21093]
global_step=11550, episodic_return=[68.339516]
global_step=11600, episodic_return=[64.25009]
global_step=11650, episodic_return=[63.62674]
global_step=11700, episodic_return=[66.402626]
global_step=11750, episodic_return=[65.97389]
global_step=11800, episodic_return=[64.13394]
global_step=11850, episodic_return=[64.768524]
global_step=11900, episodic_return=[63.4361]
global_step=11950, episodic_return=[66.13287]
global_step=12000, episodic_return=[66.32386]
global_step=12050, episodic_return=[61.76623]
global_step=12100, episodic_return=[63.474815]
global_step=12150, episodic_return=[70.454544]
global_step=12200, episodic_return=[63.882256]
global_step=12250, episodic_return=[62.877274]
SPS: 252
global_step=12300, episodic_return=[71.99314]
global_step=12350, episodic_return=[59.86925]
global_step=12400, episodic_return=[64.09749]
global_step=12450, episodic_return=[63.403652]
global_step=12500, episodic_return=[68.42269]
global_step=12550, episodic_return=[64.326195]
global_step=12600, episodic_return=[66.813126]
global_step=12650, episodic_return=[64.47095]
global_step=12700, episodic_return=[62.87411]
global_step=12750, episodic_return=[61.612064]
global_step=12800, episodic_return=[63.87168]
global_step=12850, episodic_return=[65.01138]
global_step=12900, episodic_return=[63.23451]
global_step=12950, episodic_return=[64.361595]
global_step=13000, episodic_return=[70.3017]
global_step=13050, episodic_return=[63.24266]
global_step=13100, episodic_return=[67.181274]
global_step=13150, episodic_return=[68.69764]
global_step=13200, episodic_return=[70.90041]
global_step=13250, episodic_return=[62.80553]
global_step=13300, episodic_return=[66.69386]
global_step=13350, episodic_return=[62.343304]
global_step=13400, episodic_return=[65.310165]
global_step=13450, episodic_return=[65.87208]
global_step=13500, episodic_return=[67.89751]
global_step=13550, episodic_return=[62.76816]
global_step=13600, episodic_return=[68.32112]
global_step=13650, episodic_return=[63.92717]
global_step=13700, episodic_return=[67.2287]
global_step=13750, episodic_return=[68.72096]
global_step=13800, episodic_return=[75.23152]
global_step=13850, episodic_return=[64.543365]
global_step=13900, episodic_return=[66.69656]
global_step=13950, episodic_return=[65.63657]
global_step=14000, episodic_return=[65.9765]
global_step=14050, episodic_return=[67.04907]
global_step=14100, episodic_return=[71.746124]
global_step=14150, episodic_return=[71.06127]
global_step=14200, episodic_return=[65.11165]
global_step=14250, episodic_return=[64.65288]
global_step=14300, episodic_return=[66.68651]
SPS: 254
global_step=14350, episodic_return=[68.73679]
global_step=14400, episodic_return=[69.46607]
global_step=14450, episodic_return=[68.84798]
global_step=14500, episodic_return=[69.021904]
global_step=14550, episodic_return=[66.73323]
global_step=14600, episodic_return=[60.097248]
global_step=14650, episodic_return=[62.526417]
global_step=14700, episodic_return=[70.353905]
global_step=14750, episodic_return=[62.077587]
global_step=14800, episodic_return=[64.710884]
global_step=14850, episodic_return=[61.111355]
global_step=14900, episodic_return=[65.28872]
global_step=14950, episodic_return=[66.52589]
global_step=15000, episodic_return=[66.18639]
global_step=15050, episodic_return=[66.29003]
global_step=15100, episodic_return=[73.755295]
global_step=15150, episodic_return=[61.66858]
global_step=15200, episodic_return=[70.1694]
global_step=15250, episodic_return=[64.72818]
global_step=15300, episodic_return=[63.97866]
global_step=15350, episodic_return=[66.48235]
global_step=15400, episodic_return=[64.54768]
global_step=15450, episodic_return=[62.938385]
global_step=15500, episodic_return=[60.974453]
global_step=15550, episodic_return=[66.76529]
global_step=15600, episodic_return=[68.874435]
global_step=15650, episodic_return=[63.86838]
global_step=15700, episodic_return=[61.567448]
global_step=15750, episodic_return=[67.07149]
global_step=15800, episodic_return=[67.51914]
global_step=15850, episodic_return=[65.59192]
global_step=15900, episodic_return=[66.91953]
global_step=15950, episodic_return=[71.5893]
global_step=16000, episodic_return=[59.943756]
global_step=16050, episodic_return=[63.83981]
global_step=16100, episodic_return=[65.85977]
global_step=16150, episodic_return=[66.69322]
global_step=16200, episodic_return=[63.739857]
global_step=16250, episodic_return=[62.183216]
global_step=16300, episodic_return=[61.33492]
global_step=16350, episodic_return=[67.55848]
SPS: 255
global_step=16400, episodic_return=[69.7578]
global_step=16450, episodic_return=[66.35747]
global_step=16500, episodic_return=[67.28603]
global_step=16550, episodic_return=[67.89003]
global_step=16600, episodic_return=[63.13682]
global_step=16650, episodic_return=[68.75934]
global_step=16700, episodic_return=[69.893425]
global_step=16750, episodic_return=[66.48174]
global_step=16800, episodic_return=[65.08377]
global_step=16850, episodic_return=[67.10365]
global_step=16900, episodic_return=[67.90042]
global_step=16950, episodic_return=[65.51703]
global_step=17000, episodic_return=[63.960022]
global_step=17050, episodic_return=[67.05976]
global_step=17100, episodic_return=[67.67863]
global_step=17150, episodic_return=[69.99913]
global_step=17200, episodic_return=[64.17535]
global_step=17250, episodic_return=[59.17569]
global_step=17300, episodic_return=[65.11758]
global_step=17350, episodic_return=[64.01525]
global_step=17400, episodic_return=[62.33028]
global_step=17450, episodic_return=[61.66612]
global_step=17500, episodic_return=[66.18428]
global_step=17550, episodic_return=[66.47384]
global_step=17600, episodic_return=[72.81475]
global_step=17650, episodic_return=[64.949295]
global_step=17700, episodic_return=[66.25397]
global_step=17750, episodic_return=[64.3167]
global_step=17800, episodic_return=[64.971466]
global_step=17850, episodic_return=[68.774864]
global_step=17900, episodic_return=[64.28157]
global_step=17950, episodic_return=[67.733574]
global_step=18000, episodic_return=[67.71229]
global_step=18050, episodic_return=[66.88783]
global_step=18100, episodic_return=[62.011814]
global_step=18150, episodic_return=[63.66313]
global_step=18200, episodic_return=[68.08495]
global_step=18250, episodic_return=[63.43543]
global_step=18300, episodic_return=[69.63299]
global_step=18350, episodic_return=[64.94078]
global_step=18400, episodic_return=[71.70232]
SPS: 256
global_step=18450, episodic_return=[66.30261]
global_step=18500, episodic_return=[67.31171]
global_step=18550, episodic_return=[68.819435]
global_step=18600, episodic_return=[67.84157]
global_step=18650, episodic_return=[64.845955]
global_step=18700, episodic_return=[64.54876]
global_step=18750, episodic_return=[67.204315]
global_step=18800, episodic_return=[68.6596]
global_step=18850, episodic_return=[69.66892]
global_step=18900, episodic_return=[66.53611]
global_step=18950, episodic_return=[59.648083]
global_step=19000, episodic_return=[66.6608]
